,Azimuth_Right,Azimuth_Left,AOM_Right,AOM_Left,Elevation_Right,Elevation_Left,Xaxis_Right,Xaxis_Left,Yaxis_Right,Yaxis_Left,Zaxis_Right,Zaxis_Left,Pupil_Diameter_Right,Pupil_Diameter_Left,mode_status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.691,-29.692183423079946,-8.452886745966211,0,0,35.987238874137525,-30.845068799555573,0.4008,0.1262,0.7029,0.8492,-0.5876,0.5127,4.26,3.85,0
4.879,,-47.279246213181274,0,0,35.987238874137525,-4.105797970962615,0.4008,0.7328,0.7029,0.6767,-0.5876,0.0716,4.37,3.85,0
5.003,,-32.16800087789929,0,0,35.987238874137525,-4.289828303516401,0.4008,0.5309,0.7029,0.8441,-0.5876,0.0748,4.57,3.85,0
5.144,,-30.684072242677807,0,0,35.987238874137525,10.352222877901227,0.4008,0.502,0.7029,0.846,-0.5876,-0.1797,4.64,3.85,0
5.253,,-29.40978807286986,0,0,35.987238874137525,12.11681858303648,0.4008,0.4801,0.7029,0.8517,-0.5876,-0.2099,4.74,3.85,0
5.363,,-30.38873338882808,0,0,35.987238874137525,12.649913736689632,0.4008,0.4936,0.7029,0.8417,-0.5876,-0.219,4.83,3.85,0
5.503,,-25.292651843877763,0,0,35.987238874137525,6.845867260720512,0.4008,0.4242,0.7029,0.8977,-0.5876,-0.1192,5.01,3.85,0
5.613,,-23.874506629649304,0,0,35.987238874137525,3.1873572863253865,0.4008,0.4041,0.7029,0.913,-0.5876,-0.0556,5.02,3.85,0
5.738,,-20.347422207825787,0,0,35.987238874137525,-1.5012885651784822,0.4008,0.3476,0.7029,0.9373,-0.5876,0.0262,5.14,3.85,0
5.847,,-17.94161254964837,0,0,35.987238874137525,-5.583460197960619,0.4008,0.3066,0.7029,0.9469,-0.5876,0.0973,5.23,3.85,0
5.956,,-16.231579098127597,0,0,35.987238874137525,-6.897802850659119,0.4008,0.2775,0.7029,0.9532,-0.5876,0.1201,5.16,3.85,0
6.066,,-14.74975260926982,0,0,35.987238874137525,-8.371522844918525,0.4008,0.2519,0.7029,0.9568,-0.5876,0.1456,5.09,3.85,0
6.191,-31.817651340327508,-13.759399828480284,0,0,50.64924263542419,-10.317320001006799,0.3343,0.234,0.5388,0.9556,-0.7733,0.1791,5.13,4.07,0
